Time,Colour
4.090,4
4.100,4
4.110,4
4.120,4
4.130,5
4.140,5
4.150,5
4.160,5
4.170,5
4.180,5
4.190,5
4.200,5
4.210,5
4.220,5
4.230,5
4.240,5
4.250,5
4.260,5
4.270,5
4.280,5
4.290,5
4.300,5
4.310,5
4.320,5
4.330,5
4.340,5
4.350,5
4.360,5
4.370,5
4.380,5
4.390,5
4.400,5
4.410,5
4.420,5
4.430,5
4.440,5
4.450,5
4.460,5
4.470,5
4.480,5
4.490,5
4.500,5
4.510,5
4.520,5
4.530,5
4.540,5
4.550,5
4.560,5
4.570,5
4.580,5
4.590,5
4.600,5
4.610,5
4.620,5
4.630,5
4.640,5
4.650,5
4.660,5
4.670,5
4.680,5
4.690,5
4.700,5
4.710,5
4.720,5
4.730,5
4.740,5
4.750,5
4.760,5
4.770,5
4.780,5
4.790,5
4.800,5
4.810,5
4.820,5
4.830,5
4.840,5
4.850,5
4.860,7
4.870,7
4.880,7
4.890,7
4.900,7
4.910,7
4.920,7
4.930,7
4.940,7
4.950,7
4.960,7
4.970,7
4.980,7
4.990,7
5.000,7
5.010,7
5.020,7
5.030,7
5.040,7
5.050,7
5.060,7
5.070,7
5.080,7
5.090,7
5.100,7
5.110,1
5.120,1
5.130,1
5.140,3
5.150,3
5.160,3
5.170,3
5.180,3
5.190,3
5.200,3
5.210,3
5.220,3
5.230,3
5.240,3
5.250,3
5.260,3
5.270,3
5.280,3
5.290,3
5.300,3
5.310,3
5.320,3
5.330,3
5.340,3
5.350,3
5.360,3
5.370,3
5.380,1
5.390,7
5.400,7
5.410,7
5.420,7
5.430,7
5.440,7
5.450,7
5.460,7
5.470,7
5.480,7
5.490,7
5.500,7
5.510,7
5.520,7
5.530,7
5.540,7
5.550,7
5.560,7
5.570,7
5.580,7
5.590,7
5.600,7
5.610,7
5.620,7
5.630,7
5.640,7
5.650,4
5.660,4
5.670,4
5.680,4
5.690,5
5.700,5
5.710,5
5.720,5
5.730,5
5.740,5
5.750,5
5.760,5
5.770,5
5.780,2
5.790,2
5.800,2
5.810,2
5.820,2
5.830,2
5.840,2
5.850,2
5.860,2
5.870,2
5.880,2
5.890,2
5.900,2
5.910,2
5.920,2
5.930,2
5.940,2
5.950,2
5.960,2
5.970,2
5.980,2
5.990,2
6.000,2
6.010,2
6.020,2
6.030,2
6.040,2
6.050,2
6.060,2
6.070,2
6.080,2
6.090,2
6.100,2
6.110,2
6.120,2
6.130,2
6.140,2
6.150,2
6.160,2
6.170,2
6.180,2
6.190,2
6.200,2
6.210,2
6.220,2
6.230,2
6.240,2
6.250,2
6.260,2
6.270,2
6.280,2
6.290,2
6.300,2
6.310,2
6.320,2
6.330,2
6.340,2
6.350,2
6.360,2
6.370,2
6.380,2
6.390,2
6.400,2
6.410,2
6.420,2
6.430,2
6.440,2
6.450,2
6.460,2
6.470,2
6.480,2
6.490,2
6.500,2
6.510,2
6.520,3
6.530,3
6.540,3
6.550,3
6.560,3
6.570,3
6.580,3
6.590,3
6.600,3
6.610,3
6.620,3
6.630,3
6.640,3
6.650,3
6.660,3
6.670,3
6.680,3
6.690,3
6.700,3
6.710,3
6.720,3
6.730,3
6.740,4
6.750,4
6.760,4
6.770,4
6.780,4
6.790,4
6.800,4
6.810,4
6.820,4
6.830,4
6.840,4
6.850,4
6.860,4
6.870,4
6.880,4
6.890,4
6.900,4
6.910,4
6.920,4
6.930,4
6.940,4
6.950,4
6.960,4
6.970,4
6.980,4
6.990,4
7.000,4
7.010,4
7.020,4
7.030,4
7.040,4
7.050,4
7.060,4
7.070,4
7.080,4
7.090,4
7.100,4
7.110,4
7.120,4
7.130,4
7.140,4
7.150,4
7.160,4
7.170,4
7.180,4
7.190,4
7.200,4
7.210,3
7.220,3
7.230,3
7.240,3
7.250,3
7.260,3
7.270,3
7.280,3
7.290,3
7.300,3
7.310,3
7.320,3
7.330,3
7.340,3
7.350,3
7.360,3
7.370,3
7.380,3
7.390,3
7.400,3
7.410,3
7.420,3
7.430,3
7.440,3
7.450,3
7.460,3
7.470,3
7.480,3
7.490,3
7.500,3
7.510,3
7.520,3
7.530,3
7.540,3
7.550,3
7.560,3
7.570,3
7.580,3
7.590,3
7.600,3
7.610,3
7.620,3
7.630,3
7.640,3
7.650,3
7.660,3
7.670,3
7.680,3
7.690,3
7.700,3
7.710,3
